Name,Ticker,Ticker_TSX
3iQ Bitcoin ETF,BTCQ,BTCQ.TO
3iQ Ether ETF,ETHQ,ETHQ.TO
5N Plus Inc.,VNP,VNP.TO
A&W Revenue Royalties Income Fund,AW,AW.TO
ABC Technologies Holdings Inc.,ABCT,ABCT.TO
Aberdeen International Inc.,AAB,AAB.TO
abrdn Asia-Pacific Income Fund VCC,FAP,FAP.TO
Acadian Timber Corp.,ADN,ADN.TO
Accelerate Absolute Return Hedge Fund,HDGE,HDGE.TO
Accelerate Arbitrage Fund,ARB,ARB.TO
Accelerate Enhanced Canadian Benchmark Alternative Fund,ATSX,ATSX.TO
Accelerate OneChoice Alternative Portfolio ETF,ONEC,ONEC.TO
Accord Financial Corp.,ACD,ACD.TO
Aclara Resources Inc.,ARA,ARA.TO
Adcore Inc.,ADCO,ADCO.TO
ADENTRA Inc.,ADEN,ADEN.TO
ADF Group Inc.,DRX,DRX.TO
Advantage Energy Ltd.,AAV,AAV.TO
Aecon Group Inc.,ARE,ARE.TO
Aegis Brands Inc.,AEG,AEG.TO
AEterna Zentaris Inc.,AEZS,AEZS.TO
Africa Oil Corp.,AOI,AOI.TO
AG Growth International Inc.,AFN,AFN.TO
AGF Management Limited,AGF,AGF.TO
AGF Systematic Canadian Equity ETF,QCD,QCD.TO
AGF Systematic Emerging Markets Equity ETF,QEM,QEM.TO
AGF Systematic International Equity ETF,QIE,QIE.TO
AGF Systematic US Equity ETF,QUS,QUS.TO
AGF US Market Neutral Anti-Beta CAD-Hedged ETF,QBTL,QBTL.TO
Agnico Eagle Mines Limited,AEM,AEM.TO
Agrinam Acquisition Corporation,AGRI,AGRI.TO
Aimia Inc.,AIM,AIM.TO
Air Canada,AC,AC.TO
AirBoss of America Corp.,BOS,BOS.TO
Akita Drilling Ltd.,AKT,AKT.TO
Akumin Inc.,AKU,AKU.TO
Alamos Gold Inc.,AGI,AGI.TO
Alaris Equity Partners Income Trust,AD,AD.TO
Algoma Central Corporation,ALC,ALC.TO
Algoma Steel Group Inc.,ASTL,ASTL.TO
Algonquin Power & Utilities Corp.,AQN,AQN.TO
Alimentation Couche-Tard Inc.,ATD,ATD.TO
Alithya Group Inc.,ALYA,ALYA.TO
Allied Properties Real Estate Investment Trust,AP,AP.TO
Allkem Limited,AKE,AKE.TO
Almaden Minerals Ltd.,AMM,AMM.TO
Almonty Industries Inc.,AII,AII.TO
Alta Copper Corp.,ATCU,ATCU.TO
AltaGas Ltd.,ALA,ALA.TO
Altius Minerals Corporation,ALS,ALS.TO
Altius Renewable Royalties Corp.,ARR,ARR.TO
Altus Group Limited,AIF,AIF.TO
American Hotel Income Properties REIT LP,HOT,HOT.TO
Americas Gold and Silver Corporation,USA,USA.TO
Amerigo Resources Ltd.,ARG,ARG.TO
Anaergia Inc.,ANRG,ANRG.TO
Andlauer Healthcare Group Inc.,AND,AND.TO
Andrew Peller Limited/Andrew Peller Limitee,ADW,ADW.TO
Antibe Therapeutics Inc.,ATE,ATE.TO
Appili Therapeutics Inc.,APLI,APLI.TO
Aptose Biosciences Inc.,APS,APS.TO
ARC Resources Ltd.,ARX,ARX.TO
Argonaut Gold Inc.,AR,AR.TO
Aris Mining Corporation,ARIS,ARIS.TO
Aritzia Inc.,ATZ,ATZ.TO
Arizona Metals Corp.,AMC,AMC.TO
Arizona Sonoran Copper Company Inc.,ASCU,ASCU.TO
Arrow EC Income Advantage Alternative Fund,RATE,RATE.TO
Arrow Long/Short Alternative Class ETF,ACAA,ACAA.TO
Artis Real Estate Investment Trust,AX,AX.TO
Ascendant Resources Inc.,ASND,ASND.TO
Ascot Resources Ltd.,AOT,AOT.TO
Atco Ltd.,ACO,ACO.TO
Athabasca Oil Corporation,ATH,ATH.TO
Atrium Mortgage Investment Corporation,AI,AI.TO
ATS Corporation,ATS,ATS.TO
Augusta Gold Corp.,G,G.TO
Aura Minerals Inc.,ORA,ORA.TO
Aurora Cannabis Inc.,ACB,ACB.TO
Australian REIT Income Fund,HRR,HRR.TO
AutoCanada Inc.,ACQ,ACQ.TO
Automotive Properties Real Estate Investment Trust,APR,APR.TO
Auxly Cannabis Group Inc.,XLY,XLY.TO
Avalon Advanced Materials Inc.,AVL,AVL.TO
Avant Brands Inc.,AVNT,AVNT.TO
Avicanna Inc.,AVCN,AVCN.TO
Avino Silver & Gold Mines Ltd.,ASM,ASM.TO
Axis Auto Finance Inc.,AXIS,AXIS.TO
Aya Gold & Silver Inc.,AYA,AYA.TO
B2Gold Corp.,BTO,BTO.TO
Badger Infrastructure Solutions Ltd.,BDGI,BDGI.TO
Ballard Power Systems Inc.,BLDP,BLDP.TO
Bank of Montreal,BMO,BMO.TO
Bank of Nova Scotia (The),BNS,BNS.TO
Barrick Gold Corporation,ABX,ABX.TO
Bausch + Lomb Corporation,BLCO,BLCO.TO
Bausch Health Companies Inc.,BHC,BHC.TO
Baylin Technologies Inc.,BYL,BYL.TO
Baytex Energy Corp.,BTE,BTE.TO
BBTV Holdings Inc.,BBTV,BBTV.TO
BCE Inc.,BCE,BCE.TO
Becker Milk Company Ltd. (The),BEK,BEK.TO
Belo Sun Mining Corp.,BSX,BSX.TO
